date,sqft,psf,price
Feb2026,441,2352,1038000
Jan2026,452,2145,970000
Dec2025,452,2388,1080000
Sep2025,441,2274,1003888
Jul2025,452,2278,1030000
May2025,462,2344,1085000
Mar2025,581,2580,1500000
Oct2024,581,2580,1500000
Sep2024,441,2356,1040000
Aug2024,452,2327,1052000
Aug2024,538,2452,1320000
Jul2024,441,2424,1070000
Jul2024,538,2471,1330000
May2024,742,2221,1650000
May2024,1033,2419,2500000
Apr2024,441,2265,1000000
Mar2024,441,2329,1028000
Feb2024,441,2447,1080000
Feb2024,871,2374,2070000
Nov2023,441,2447,1080000
Aug2023,441,2379,1050000
Jul2023,581,2494,1450000
May2023,441,2447,1080000
May2023,581,2494,1450000
Mar2023,452,2256,1020000
Dec2022,839,2143,1800000
Dec2022,441,2424,1070000
Oct2022,441,2333,1030000
Oct2022,441,2441,1077500
Sep2022,839,2149,1805000
Sep2022,742,2315,1720000
May2022,1011,2134,2160000
Apr2022,742,2221,1650000
Apr2022,1033,1935,2000000
Dec2021,452,2399,1085000
Oct2021,538,2058,1108000
Sep2021,1259,1651,2080000
Sep2021,581,2159,1255000
Sep2021,1259,1734,2185000
Aug2021,441,2442,1078000
Jul2021,452,2196,993000
Jul2021,1087,1571,1708000
Jun2021,667,1858,1240000
May2021,742,2019,1500000
Apr2021,581,2129,1238000
Feb2021,452,2189,990000
Aug2020,441,2503,1105000
Jun2020,742,2019,1500000
Mar2020,742,2154,1600000
Oct2019,581,2121,1233000
Mar2019,581,2181,1268000
Jan2019,441,2447,1080000
Aug2018,667,2097,1400000
Aug2018,559,2176,1218000
Jul2018,581,2167,1260000
Apr2018,581,2270,1320000
Apr2018,462,2138,990000
Apr2018,742,2181,1620000
Apr2018,581,2233,1298000
Apr2018,581,2133,1240000
Jan2018,441,2333,1030000
Nov2017,839,2000,1680000
Nov2017,871,2045,1783000
Nov2017,839,2062,1732000
Oct2017,1119,1840,2060000
Sep2017,871,2070,1805000
Sep2017,871,2093,1825000
Aug2017,839,2032,1706300
Aug2017,1108,1838,2038000
Aug2017,1108,1821,2020000
Aug2017,1119,1827,2046000
Jul2017,1033,1855,1917000
Jul2017,452,2229,1008000
Jul2017,785,2185,1717000
Jul2017,441,2231,985000
Jul2017,785,2112,1660000
Jul2017,1011,1927,1950000
Jul2017,839,2034,1708000
Jul2017,441,2352,1038000
Jul2017,441,2390,1055000
Jul2017,441,2431,1073000
Jul2017,441,2374,1048000
Jul2017,441,2311,1020000
Jul2017,441,2413,1065000
Jul2017,1011,1913,1936000
Jul2017,1033,1833,1895000
Jul2017,441,2492,1100000
Jul2017,441,2454,1083000
Jun2017,785,2036,1600000
Jun2017,1108,1794,1990000
Jun2017,839,2064,1733000
Jun2017,839,1989,1670000
May2017,452,2145,970000
Apr2017,839,2065,1734000
Apr2017,839,2034,1708000
Apr2017,441,2551,1126080
Apr2017,1119,1882,2107536
