date,sqft,psf,price
Feb2026,635,2361,1500000
Feb2026,505,2280,1153888
Feb2026,1054,2711,2860000
Feb2026,635,2217,1408000
Jan2026,678,2602,1765000
Jan2026,656,2299,1510000
Jan2026,1054,2588,2730000
Jan2026,635,2229,1416000
Jan2026,441,2345,1035000
Jan2026,882,2673,2360000
Dec2025,441,2374,1048000
Dec2025,624,2314,1445000
Dec2025,635,2393,1520000
Dec2025,624,2218,1385000
Dec2025,635,2363,1500888
Dec2025,505,2332,1180000
Dec2025,624,2383,1488000
Dec2025,1054,2540,2680000
Dec2025,624,2402,1500000
Dec2025,441,2265,1000000
Dec2025,505,2381,1205000
Dec2025,688,2445,1685000
Nov2025,505,2255,1141000
Nov2025,656,2235,1468000
Nov2025,635,2265,1439000
Nov2025,882,2435,2150000
Nov2025,505,2322,1175000
Nov2025,505,2332,1180000
Nov2025,441,2447,1080000
Nov2025,688,2395,1650000
Nov2025,979,2460,2410000
Nov2025,882,1971,1740000
Nov2025,656,2215,1455000
Oct2025,893,2585,2310000
Oct2025,688,2466,1699000
Oct2025,785,2481,1950000
Oct2025,505,1996,1010000
Oct2025,1054,2656,2802000
Oct2025,979,2475,2425000
Oct2025,678,2447,1660000
Oct2025,882,2583,2280000
Oct2025,1054,2426,2560000
Sep2025,764,2436,1861800
Sep2025,624,2370,1480000
Sep2025,1054,2561,2701800
Sep2025,656,2129,1398000
Sep2025,441,2322,1025000
Sep2025,441,2322,1025000
Sep2025,678,2696,1828888
Sep2025,656,2261,1485000
Sep2025,904,2117,1915000
Sep2025,678,2562,1738000
Aug2025,441,2297,1014000
Aug2025,635,2330,1480000
Aug2025,656,2330,1530000
Aug2025,764,2289,1750000
Aug2025,656,2132,1400000
Aug2025,764,2342,1790000
Aug2025,678,2617,1775000
Aug2025,656,2337,1535000
Aug2025,1054,2379,2510000
Aug2025,764,2405,1838000
Aug2025,441,2333,1030000
Aug2025,904,2011,1818888
Jul2025,764,2483,1898000
Jul2025,678,2558,1735000
Jul2025,1280,2107,2700000
Jul2025,624,2218,1385000
Jul2025,441,2413,1065000
Jul2025,678,2562,1738000
Jul2025,979,2552,2500000
Jul2025,688,2482,1710000
Jul2025,678,2680,1818000
Jul2025,505,2362,1195000
Jun2025,624,2370,1480000
Jun2025,678,2580,1750000
Jun2025,505,2302,1165000
Jun2025,505,2233,1130000
Jun2025,505,2174,1100000
Jun2025,678,2374,1610000
May2025,764,2509,1918000
May2025,505,2460,1245000
May2025,904,2121,1918000
May2025,678,2536,1720000
May2025,688,2308,1590000
May2025,1054,2577,2718888
May2025,624,2415,1508000
Apr2025,688,2474,1705000
Apr2025,635,2304,1463800
Apr2025,505,2111,1068000
Apr2025,764,2368,1810000
Apr2025,1054,2510,2648100
Apr2025,688,2337,1610000
Apr2025,688,2467,1700000
Apr2025,635,2264,1438000
Apr2025,505,2194,1110000
Apr2025,678,2562,1738000
Mar2025,505,2174,1100000
Mar2025,1345,2518,3388000
Mar2025,688,2366,1630000
Mar2025,441,2379,1050000
Mar2025,624,2386,1490000
Mar2025,1054,2521,2660000
Mar2025,678,2589,1756000
Mar2025,656,2217,1456000
Mar2025,688,2349,1618888
Mar2025,635,2338,1485000
Mar2025,635,2141,1360000
Mar2025,764,2551,1950000
Mar2025,882,2492,2200000
Mar2025,624,2418,1510000
Mar2025,678,2536,1720000
Feb2025,764,2449,1872000
Feb2025,688,2438,1680000
Feb2025,764,2486,1900000
Feb2025,624,2386,1490000
Feb2025,656,2345,1540000
Feb2025,505,2251,1139000
Feb2025,635,2401,1525000
Feb2025,656,2185,1435000
Feb2025,678,2580,1750000
Feb2025,505,2480,1255000
Feb2025,656,2244,1473888
Jan2025,656,2284,1500000
Jan2025,882,2447,2160000
Jan2025,979,2501,2450000
Dec2024,678,2433,1650000
Dec2024,1345,2638,3550000
Dec2024,656,2269,1490000
Dec2024,441,2469,1090000
Dec2024,688,2322,1600000
Dec2024,656,2254,1480000
Nov2024,764,2388,1825000
Nov2024,688,2419,1667000
Nov2024,656,2212,1452800
Nov2024,505,2352,1190000
Nov2024,635,2314,1470000
Nov2024,635,2259,1435000
Nov2024,624,2338,1460000
Nov2024,1345,2471,3325000
Nov2024,688,2293,1580000
Oct2024,656,2219,1457000
Oct2024,764,2384,1822000
Oct2024,635,2487,1580000
Oct2024,441,2424,1070000
Oct2024,656,2235,1468000
Oct2024,678,2545,1726000
Oct2024,656,2174,1428000
Oct2024,624,2290,1430000
Oct2024,624,2266,1415000
Oct2024,505,2371,1200000
Oct2024,893,2338,2088800
Sep2024,635,2355,1496000
Sep2024,635,2343,1488000
Sep2024,688,2315,1595000
Sep2024,505,2332,1180000
Sep2024,635,2259,1435000
Sep2024,505,2213,1120000
Sep2024,624,2368,1478800
Sep2024,441,2352,1038000
Sep2024,635,2220,1410000
Sep2024,656,2223,1460000
Aug2024,764,2478,1893888
Aug2024,635,2469,1568000
Aug2024,678,2573,1745000
Aug2024,678,2388,1620000
Aug2024,441,2243,990000
Aug2024,688,2438,1680000
Jul2024,635,2280,1448000
Jul2024,688,2322,1600000
Jul2024,1054,2256,2380000
Jul2024,979,2438,2388888
Jul2024,441,2311,1020000
Jul2024,635,2165,1375000
Jul2024,1054,2398,2530000
Jul2024,764,2421,1850888
Jun2024,624,2223,1388000
Jun2024,635,2204,1400000
Jun2024,635,2445,1553000
Jun2024,441,2379,1050000
Jun2024,979,2450,2400000
Jun2024,656,2269,1490000
Jun2024,635,2264,1438000
Jun2024,678,2565,1740000
Jun2024,1345,2363,3180000
May2024,624,2114,1320000
May2024,635,2283,1450000
May2024,505,2184,1105000
May2024,785,2519,1980000
May2024,635,2298,1460000
May2024,624,2242,1400000
Apr2024,635,2276,1446000
Apr2024,505,2407,1218000
