date,sqft,psf,price
Feb2026,957,2124,2035000
Jan2026,505,1826,924000
Jan2026,624,2010,1255000
Jan2026,613,2002,1228888
Jan2026,957,2028,1943000
Jan2026,990,2008,1988888
Dec2025,613,1955,1200000
Dec2025,764,1871,1430000
Dec2025,1065,2064,2200000
Nov2025,764,1995,1525000
Nov2025,613,1874,1150000
Nov2025,505,1838,930000
Nov2025,1442,1892,2730000
Nov2025,990,2070,2050000
Nov2025,613,1944,1192888
Oct2025,613,1939,1190000
Oct2025,441,1926,850000
Oct2025,764,2038,1558000
Sep2025,505,1798,910000
Sep2025,613,1927,1182888
Sep2025,613,1825,1120000
Sep2025,957,1962,1880000
Sep2025,441,1926,850000
Sep2025,613,1816,1114200
Sep2025,613,1942,1192000
Sep2025,505,1897,960000
Sep2025,764,2054,1570000
Sep2025,441,1914,845000
Aug2025,764,1920,1468000
Aug2025,624,1910,1193000
Aug2025,441,1937,855000
Aug2025,764,1858,1420000
Jul2025,441,1982,875000
Jul2025,764,2001,1530000
Jul2025,602,1941,1170000
Jul2025,613,1867,1145800
Jul2025,764,1858,1420000
Jul2025,613,1838,1128000
Jul2025,505,1838,930000
Jun2025,764,1910,1460000
Jun2025,688,1916,1320000
Jun2025,1280,1936,2480000
Jun2025,624,1922,1200000
May2025,505,1778,900000
May2025,624,1938,1210000
May2025,764,1858,1420000
May2025,1065,1970,2100000
May2025,441,1880,830000
May2025,441,1878,829000
May2025,602,1990,1200000
May2025,613,1874,1150000
Apr2025,613,1874,1150000
Apr2025,839,1846,1550000
Apr2025,613,1867,1145888
Apr2025,441,1893,835800
Apr2025,1270,1858,2360000
Mar2025,505,1778,900000
Mar2025,602,1939,1168888
Mar2025,1065,1970,2100000
Mar2025,602,1941,1170000
Mar2025,957,1952,1870000
Feb2025,613,1858,1140000
Feb2025,602,1957,1180000
Feb2025,990,1933,1915000
Feb2025,602,1941,1170000
Jan2025,613,1906,1170000
Jan2025,957,1993,1910000
Jan2025,613,1849,1135000
Jan2025,624,1882,1175000
Jan2025,613,1858,1140000
Jan2025,957,1946,1865000
Jan2025,1065,2064,2200000
Dec2024,613,1903,1168000
Dec2024,1270,1858,2360000
Dec2024,613,1858,1140000
Dec2024,613,1858,1140000
Dec2024,764,1868,1428000
Dec2024,764,1825,1395000
Nov2024,1280,1936,2480000
Nov2024,764,1805,1380000
Nov2024,505,1808,915000
Nov2024,688,1786,1231000
Nov2024,505,1814,918000
Nov2024,441,1858,820000
Nov2024,1065,2026,2160000
Nov2024,505,1849,935800
Oct2024,505,1788,905000
Oct2024,613,1890,1160000
Oct2024,602,1841,1110000
Oct2024,1280,1795,2300000
Oct2024,764,1792,1370000
Oct2024,624,1874,1170000
Oct2024,990,1969,1950000
Sep2024,441,1858,820000
Sep2024,441,1914,845000
Sep2024,1280,1779,2280000
Sep2024,1065,1858,1980000
Aug2024,505,1798,910000
Aug2024,1280,1795,2300000
Aug2024,602,1957,1180000
Aug2024,957,2056,1970000
Aug2024,441,1880,830000
Jul2024,1270,1897,2410000
Jul2024,764,1897,1450000
Jul2024,990,1898,1880000
Jul2024,688,1858,1280000
Jul2024,1280,1990,2550000
Jul2024,764,1877,1435000
Jun2024,764,1962,1500000
May2024,613,1986,1218888
May2024,441,1903,840000
May2024,1065,1876,2000000
Apr2024,1065,2026,2160000
Apr2024,764,1844,1410000
Apr2024,764,1930,1475000
Apr2024,764,1941,1484000
Mar2024,764,1858,1420000
Mar2024,764,1962,1500000
Feb2024,1280,1858,2380000
Jan2024,764,1858,1420000
Jan2024,1065,1923,2050000
Jan2024,1280,1731,2218000
Jan2024,505,1848,935000
Jan2024,441,1937,855000
Jan2024,441,1926,850000
Dec2023,1270,1850,2350000
Dec2023,441,1982,875000
Dec2023,441,1892,835000
Nov2023,990,1797,1780000
Nov2023,441,1830,808000
Nov2023,505,1828,925000
Nov2023,505,1834,928000
Nov2023,1280,1821,2332800
Nov2023,613,1942,1192000
Nov2023,441,1982,875000
Nov2023,602,2023,1220000
Oct2023,1065,2017,2150000
Oct2023,1270,1795,2280000
Oct2023,990,1898,1880000
Oct2023,613,1849,1135000
Sep2023,602,1899,1145000
Sep2023,505,1749,885000
Sep2023,764,1922,1468888
Sep2023,1065,1858,1980000
Sep2023,957,1983,1900000
Sep2023,764,1831,1400000
Sep2023,957,1941,1860000
Aug2023,505,1838,930000
Aug2023,764,1871,1430000
Aug2023,613,1901,1166888
Jun2023,957,1920,1840000
Jun2023,1270,1848,2348000
Jun2023,764,1831,1400000
May2023,602,1858,1120000
May2023,505,1699,860000
May2023,1463,1795,2628000
May2023,613,1841,1130000
Apr2023,624,1950,1218000
