date,sqft,psf,price
Feb2026,904,1902,1720000
Feb2026,484,1713,830000
Jan2026,818,1833,1500000
Dec2025,1377,1880,2590888
Nov2025,1517,1930,2930000
Nov2025,818,1752,1433333
Nov2025,1065,2008,2140000
Nov2025,484,1699,823000
Nov2025,1054,1867,1970000
Oct2025,1054,1886,1990000
Oct2025,731,1926,1410000
Sep2025,1140,1950,2225000
Sep2025,818,1798,1470888
Sep2025,1065,1994,2125000
Aug2025,1248,1906,2380000
Aug2025,570,1884,1075000
Jul2025,570,1756,1001888
Jul2025,818,1798,1470888
Jul2025,904,1918,1735000
Jun2025,1377,1958,2698000
Jun2025,818,1902,1556000
May2025,1065,1975,2105525
May2025,710,1770,1258000
Apr2025,904,1946,1760000
Mar2025,1140,1830,2088000
Mar2025,904,1835,1660000
Feb2025,1248,1922,2400000
Feb2025,710,1801,1280000
Jan2025,1377,1872,2580000
Jan2025,742,1642,1220000
Dec2024,1140,1866,2130000
Dec2024,742,1693,1258000
Nov2024,570,1752,1000000
Nov2024,742,1750,1300000
Oct2024,1054,1763,1860000
Oct2024,904,1802,1630000
Oct2024,710,1745,1240000
Oct2024,570,1849,1055000
Oct2024,818,1711,1400000
Oct2024,731,1759,1288000
Sep2024,1517,1844,2800000
Sep2024,484,1847,895000
Sep2024,1054,1885,1988888
Sep2024,1184,1923,2278000
Sep2024,1054,1834,1935000
Sep2024,710,1815,1290000
Aug2024,710,1717,1220000
Aug2024,742,1841,1368000
Jul2024,1184,1917,2270000
Jul2024,904,1946,1760000
Jun2024,1517,1726,2620000
May2024,1140,1752,2000000
May2024,1065,1839,1960000
Apr2024,742,1804,1340000
Apr2024,818,1754,1435000
Apr2024,1377,1778,2450000
Apr2024,1140,1735,1980000
Apr2024,731,1721,1260000
Mar2024,1184,1790,2120000
Mar2024,484,1697,822000
Feb2024,1054,1706,1800000
Jan2024,1517,1798,2730000
Jan2024,742,1693,1258000
Dec2023,1054,1829,1930000
Dec2023,1140,1752,2000000
Nov2023,570,1928,1100000
Nov2023,1248,1777,2220000
Sep2023,1517,1778,2700000
Sep2023,742,1743,1295000
Aug2023,742,1804,1340000
Aug2023,742,1831,1360000
Jul2023,484,1845,894000
Jun2023,1248,1765,2205000
Jun2023,742,1683,1250000
May2023,484,1692,820000
May2023,710,1841,1308000
Apr2023,1184,1689,2000000
Mar2023,570,1577,900000
Mar2023,710,1745,1240000
Mar2023,484,1692,820000
Feb2023,742,1662,1235000
Dec2022,484,1754,850000
Oct2022,742,1689,1255000
Sep2022,742,1736,1290000
Aug2022,731,1736,1271000
Jul2022,904,1614,1460000
Jul2022,570,1577,900000
Jun2022,1442,1650,2380000
Jun2022,731,1557,1140000
May2022,1184,1773,2100000
May2022,731,1543,1130000
Apr2022,1054,1598,1686000
Mar2022,710,1590,1130000
Mar2022,1517,1581,2400000
Mar2022,731,1639,1200000
Feb2022,818,1581,1293500
Feb2022,731,1571,1150000
