date,sqft,psf,price
Feb2026,710,1855,1318000
Feb2026,1356,1740,2360000
Feb2026,914,2054,1880000
Feb2026,1108,1655,1835000
Jan2026,914,2032,1860000
Jan2026,914,2032,1860000
Dec2025,710,1900,1350000
Dec2025,538,1802,970000
Dec2025,1108,1562,1732000
Nov2025,710,1829,1300000
Nov2025,1054,1914,2020000
Nov2025,710,1829,1300000
Nov2025,1345,1768,2380000
Nov2025,753,1990,1500000
Nov2025,710,1829,1300000
Oct2025,1108,1567,1738000
Oct2025,699,1898,1328000
Oct2025,1345,1698,2285000
Oct2025,1765,1586,2800000
Sep2025,699,1926,1348000
Sep2025,1044,1843,1925000
Sep2025,1345,1731,2330000
Aug2025,914,2022,1850000
Aug2025,1603,1558,2500000
Aug2025,753,1858,1400000
Aug2025,1108,1560,1730000
Jul2025,1108,1623,1800000
Jul2025,710,1843,1310000
Jun2025,1108,1578,1750000
Jun2025,710,1787,1270000
Jun2025,538,1755,945000
Jun2025,936,2028,1900000
Jun2025,1345,1754,2360000
May2025,710,1787,1270000
May2025,538,1737,935000
Apr2025,914,1997,1828000
Apr2025,710,1942,1380000
Apr2025,538,1776,955888
Apr2025,1356,1681,2280000
Mar2025,710,1877,1333888
Mar2025,1108,1952,2165000
Mar2025,753,1948,1468000
Mar2025,538,1811,975000
Mar2025,538,1681,905000
Mar2025,914,1945,1780000
Feb2025,914,1896,1735000
Jan2025,914,1967,1800000
Jan2025,538,1742,938000
Nov2024,1044,1992,2080000
Nov2024,4606,994,4580000
Nov2024,710,1858,1320000
Nov2024,1044,2011,2100000
Nov2024,936,1847,1730000
Oct2024,914,1945,1780000
Oct2024,1345,1672,2250000
Oct2024,1356,1732,2350000
Oct2024,936,1868,1750000
Sep2024,4606,933,4300000
Sep2024,936,1965,1840888
Sep2024,710,1872,1330000
Sep2024,1517,1746,2650000
Sep2024,1356,1622,2200000
Aug2024,538,1700,915000
Aug2024,1044,1980,2068000
Aug2024,538,1757,946000
Aug2024,1044,1723,1800000
Aug2024,538,1649,888000
Aug2024,1700,1440,2450000
Jul2024,1356,1525,2068888
Jul2024,914,1967,1800000
Jul2024,1517,1738,2638888
Jul2024,538,1653,890000
Jun2024,699,1900,1330000
May2024,1345,1746,2350000
May2024,1044,1800,1880000
May2024,1108,1910,2118000
May2024,914,1967,1800000
May2024,1356,1614,2190000
May2024,1108,1803,2000000
Apr2024,914,1858,1700000
Apr2024,710,1787,1270000
Apr2024,710,1728,1228000
Mar2024,1108,1465,1625000
Mar2024,1517,1482,2250000
Feb2024,914,1907,1745000
Feb2024,538,1783,960000
Jan2024,710,1745,1240000
Jan2024,1108,1541,1708888
Dec2023,914,1787,1635000
Dec2023,710,1773,1260000
Dec2023,936,1890,1770000
Dec2023,753,1698,1280000
Dec2023,3961,1009,4000000
Dec2023,1517,1721,2613000
Nov2023,1108,1695,1880000
Nov2023,753,1765,1330000
Nov2023,936,1831,1715000
Oct2023,1517,1657,2515000
Oct2023,1517,1581,2400000
Oct2023,538,1755,945000
Sep2023,1517,1614,2450000
Sep2023,1044,1904,1988000
Sep2023,538,1672,900000
Sep2023,538,1649,888000
Aug2023,936,1868,1750000
Jul2023,699,1772,1240000
Jul2023,538,1709,920000
Jul2023,936,1943,1820000
Jul2023,1108,1650,1830100
Jul2023,753,1791,1350000
Jul2023,1700,1293,2200000
Jun2023,538,1631,878000
Jun2023,1108,1551,1720000
Jun2023,538,1724,928000
Jun2023,3875,1009,3910000
May2023,538,1653,890000
May2023,1517,1666,2530000
May2023,538,1597,860000
May2023,914,1841,1685000
Apr2023,538,1690,910000
Apr2023,538,1635,880000
Apr2023,914,1912,1750000
Apr2023,538,1579,850000
Mar2023,3961,1040,4120000
Mar2023,710,1731,1230000
Mar2023,914,1803,1650000
Mar2023,538,1746,940000
Mar2023,914,1812,1658000
Feb2023,1356,1563,2120000
Feb2023,710,1703,1210000
Jan2023,710,1731,1230000
Nov2022,538,1681,905000
Nov2022,936,1739,1628888
Nov2022,699,1758,1230000
Nov2022,710,1703,1210000
Oct2022,914,1803,1650000
Oct2022,538,1690,910000
Oct2022,1345,1649,2220000
Sep2022,1108,1461,1620000
Sep2022,538,1709,920000
Sep2022,936,1762,1650168
Sep2022,936,1761,1650000
Sep2022,4606,1041,4800000
Sep2022,1345,1501,2020000
Aug2022,538,1672,900000
Aug2022,710,1664,1182500
Aug2022,936,1729,1620000
Aug2022,893,1544,1380000
Aug2022,1044,1723,1800000
Jul2022,1108,1425,1580000
Jul2022,1044,1618,1690000
Jul2022,538,1635,880000
Jul2022,538,1633,879000
Jun2022,538,1508,812000
Jun2022,914,1646,1506800
Jun2022,538,1560,840000
Jun2022,538,1614,868888
May2022,1356,1681,2280000
May2022,753,1619,1220000
May2022,538,1635,880000
May2022,538,1560,840000
May2022,1044,1647,1720000
Apr2022,914,1678,1536000
Apr2022,710,1538,1093000
Apr2022,1517,1449,2200000
Apr2022,914,1694,1550000
Apr2022,1108,1551,1720000
Mar2022,1345,1456,1960000
Mar2022,1356,1400,1900000
Mar2022,1345,1426,1920000
Mar2022,936,1633,1530000
Mar2022,1356,1400,1900000
Mar2022,914,1735,1588000
Mar2022,710,1660,1180000
Mar2022,538,1649,888000
Mar2022,914,1672,1530000
Feb2022,1108,1352,1500000
Feb2022,710,1675,1190000
Feb2022,1108,1389,1540000
Feb2022,1517,1396,2120000
Feb2022,1108,1425,1580000
Jan2022,1108,1578,1750000
Jan2022,1517,1482,2250000
Jan2022,936,1601,1500000
Jan2022,914,1705,1560000
Jan2022,538,1588,855000
Dec2021,1108,1380,1530000
Dec2021,753,1685,1270000
Dec2021,538,1635,880000
Dec2021,1345,1378,1855000
Dec2021,914,1670,1528000
Dec2021,1517,1383,2100000
Dec2021,753,1725,1300000
Dec2021,914,1639,1500000
Dec2021,1345,1412,1900000
Nov2021,1356,1393,1890000
Nov2021,914,1705,1560000
Nov2021,1517,1442,2190000
Nov2021,1044,1589,1660000
Nov2021,914,1519,1390000
Nov2021,538,1595,858800
Oct2021,4445,1012,4500000
Oct2021,914,1662,1520750
Oct2021,936,1535,1438000
Oct2021,710,1675,1190000
Oct2021,1517,1436,2180000
Oct2021,1044,1543,1612000
Oct2021,936,1535,1438000
Oct2021,1356,1386,1880000
Sep2021,1108,1343,1490000
Sep2021,1054,1592,1680000
Sep2021,1108,1273,1411800
Sep2021,1044,1451,1516000
Sep2021,1044,1624,1696000
Sep2021,914,1661,1520000
Sep2021,1517,1482,2250000
Sep2021,753,1693,1276197
Aug2021,914,1626,1488000
Aug2021,710,1594,1133000
Aug2021,753,1712,1290000
Aug2021,710,1407,1000000
Aug2021,538,1588,855000
Aug2021,914,1584,1450000
Jul2021,1345,1322,1780000
Jul2021,1108,1251,1388000
Jul2021,914,1628,1490000
Jul2021,538,1653,890000
Jul2021,1108,1316,1460000
Jul2021,1345,1352,1820000
Jun2021,914,1584,1450000
Jun2021,538,1564,842000
May2021,538,1612,868000
Apr2021,936,1548,1450000
Apr2021,1044,1580,1650000
Apr2021,914,1508,1380000
Apr2021,1356,1319,1790000
Apr2021,1356,1356,1840000
Apr2021,1054,1564,1650000
Apr2021,1108,1352,1500000
Apr2021,753,1559,1175000
Mar2021,1356,1445,1960000
Mar2021,1044,1618,1690000
Mar2021,1108,1380,1530000
Mar2021,699,1643,1150000
Mar2021,538,1594,858000
Mar2021,710,1618,1150000
Jan2021,699,1700,1190000
Jan2021,538,1486,800000
Jan2021,710,1594,1133000
Jan2021,914,1525,1396000
Dec2020,936,1462,1370000
Dec2020,914,1617,1480000
Dec2020,538,1356,730000
Dec2020,914,1639,1500000
Dec2020,710,1548,1100000
Dec2020,1517,1350,2050000
Oct2020,936,1596,1495000
Sep2020,1345,1322,1780000
Sep2020,4606,1041,4800000
Aug2020,753,1479,1115000
Aug2020,1517,1251,1900000
Aug2020,936,1643,1539000
Nov2019,1345,1304,1755000
Nov2019,914,1672,1530000
Nov2019,4606,1080,4975560
Sep2019,1108,1443,1600000
Jun2019,1108,1461,1620000
May2019,914,1628,1490000
Apr2019,936,1623,1520148
Mar2019,3100,1076,3338000
Feb2019,1700,1087,1850000
Oct2018,1108,1432,1588000
Oct2018,914,1451,1328000
Jun2018,2647,1222,3238000
May2018,1345,1319,1775000
May2018,699,1722,1205000
May2018,1765,1069,1888000
May2018,1108,1409,1563000
May2018,1345,1251,1684000
Apr2018,1345,1254,1688000
Apr2018,1108,1381,1532000
Mar2018,1345,1252,1685000
Mar2018,1334,1077,1438000
Mar2018,1345,1225,1649000
Mar2018,1345,1282,1726000
Mar2018,1108,1343,1489000
Mar2018,1345,1264,1702000
Mar2018,1700,1074,1828000
Mar2018,1345,1212,1632000
Mar2018,1356,1190,1615000
Mar2018,1345,1215,1635000
Mar2018,1345,1310,1763000
Mar2018,1345,1247,1679000
Feb2018,1345,1315,1770000
Feb2018,1603,1065,1709000
Feb2018,1345,1305,1756000
Feb2018,1345,1255,1689000
Feb2018,1108,1331,1476000
Feb2018,1345,1212,1632000
Jan2018,1108,1322,1466000
Jan2018,1345,1291,1738000
Jan2018,1345,1265,1703000
Jan2018,1345,1244,1674000
