date,sqft,psf,price
Feb2026,1506,2309,3480000
Jan2026,839,2404,2019000
Jan2026,1001,2312,2315000
Jan2026,624,2139,1336000
Jan2026,430,2201,948000
Jan2026,775,2064,1600000
Dec2025,839,2274,1910000
Dec2025,441,2220,980000
Dec2025,430,2218,955000
Nov2025,850,2338,1988888
Oct2025,430,2252,970000
Sep2025,850,2280,1938888
Sep2025,807,2328,1880000
Sep2025,861,2281,1965000
Sep2025,430,2201,948000
Sep2025,850,2327,1978888
Sep2025,441,2193,968000
Sep2025,1506,2296,3460000
Sep2025,430,2248,968000
Aug2025,861,2252,1940000
Aug2025,441,2231,985000
Aug2025,484,2184,1058000
Jul2025,850,2210,1880000
Jul2025,775,2109,1635000
Jul2025,850,2281,1940000
Jun2025,441,2193,968000
Jun2025,495,2288,1133000
Jun2025,850,2210,1880000
Jun2025,947,2021,1915000
May2025,2002,2047,4100000
May2025,936,2221,2080000
May2025,807,2019,1630000
Apr2025,430,2271,978000
Apr2025,495,2298,1138000
Apr2025,807,2167,1750000
Apr2025,624,2226,1390000
Apr2025,1001,2347,2350000
Mar2025,861,2193,1888888
Mar2025,624,2162,1350000
Mar2025,441,2163,955000
Mar2025,850,2161,1838000
Mar2025,947,2037,1930000
Feb2025,495,2298,1138000
Feb2025,624,2194,1370000
Feb2025,2002,2112,4230000
Jan2025,430,2206,950000
Jan2025,624,2194,1370000
Jan2025,861,2299,1980000
Jan2025,1054,2284,2410000
Jan2025,775,2180,1690000
Dec2024,807,2167,1750000
Dec2024,775,1958,1518000
Dec2024,947,2100,1990000
Dec2024,775,2103,1630000
Nov2024,624,2146,1340000
Nov2024,839,2346,1970000
Nov2024,430,2248,968000
Nov2024,430,2264,975000
Nov2024,850,2287,1945000
Nov2024,936,2135,2000000
Nov2024,839,2251,1890000
Nov2024,775,2064,1600000
Oct2024,441,2220,980000
Oct2024,861,2206,1900000
Oct2024,839,2298,1930000
Oct2024,839,2209,1855000
Sep2024,430,2250,968888
Sep2024,624,2186,1365000
Aug2024,936,2114,1980000
Aug2024,850,2234,1900000
Aug2024,1506,2169,3270000
Aug2024,495,2278,1128000
Jul2024,1001,2187,2190000
Jun2024,484,2215,1073000
Jun2024,495,2197,1088000
Jun2024,839,2221,1865000
Jun2024,441,2252,993888
May2024,775,1961,1520000
May2024,861,2264,1950000
May2024,495,2221,1100000
May2024,775,2064,1600000
May2024,441,2225,982000
Apr2024,441,2209,975000
Apr2024,807,2341,1890000
Apr2024,624,2178,1360000
Mar2024,861,2206,1900000
Mar2024,430,2280,982000
Mar2024,861,2206,1900000
Mar2024,624,2242,1400000
Feb2024,430,2276,980000
Feb2024,495,2191,1085000
Feb2024,861,2206,1900000
Feb2024,441,2220,980000
Jan2024,430,2287,985000
Jan2024,775,1999,1550000
Dec2023,1054,2294,2420000
Dec2023,441,2197,970000
Dec2023,807,1975,1595000
Dec2023,430,2276,980000
Dec2023,807,1981,1600000
Nov2023,441,2220,980000
Nov2023,850,2257,1920000
Nov2023,430,2206,950000
Oct2023,624,2210,1380000
Oct2023,807,1979,1598000
Oct2023,624,2178,1360000
Oct2023,807,1981,1600000
Oct2023,775,2058,1595000
Sep2023,1001,2165,2168000
Sep2023,936,2082,1950000
Sep2023,839,2179,1830000
Aug2023,430,2218,955000
Aug2023,839,2225,1868888
Aug2023,947,1953,1850000
Aug2023,839,2203,1850000
Jul2023,430,2229,960000
Jul2023,861,2171,1870000
Jul2023,807,2093,1690000
Jun2023,839,2155,1810000
May2023,484,2167,1050000
May2023,947,1953,1850000
May2023,775,1974,1530000
Apr2023,947,1900,1800000
Apr2023,495,2060,1020000
Apr2023,430,2229,960000
Mar2023,624,2154,1345000
Mar2023,495,2181,1080000
Mar2023,807,2006,1620000
Mar2023,807,2167,1750000
Dec2022,947,2111,2000000
Dec2022,1001,2177,2180000
Dec2022,430,2206,950000
Nov2022,441,2118,935000
Nov2022,495,2015,998000
Nov2022,430,2178,938000
Nov2022,1054,1990,2100000
Nov2022,775,2079,1612000
Oct2022,430,2108,908000
Oct2022,441,2057,908000
Oct2022,624,2034,1270000
Oct2022,430,2113,910000
Sep2022,430,2171,935000
Sep2022,441,1994,880000
Aug2022,775,1961,1520000
Aug2022,495,1979,980000
Aug2022,484,2002,970000
Aug2022,430,2018,868888
Aug2022,624,2063,1288000
Aug2022,936,2114,1980000
Jul2022,624,2098,1310000
Jul2022,495,2090,1035000
Jul2022,495,1918,950000
Jul2022,624,1984,1238888
Jul2022,495,2049,1015000
Jul2022,484,2012,975000
Jul2022,807,1858,1500000
Jul2022,495,1938,960000
Jul2022,495,1979,980000
Jun2022,484,2085,1010000
Jun2022,807,1858,1500000
Jun2022,1506,1969,2968000
Jun2022,624,2002,1250000
Jun2022,807,1858,1500000
May2022,495,1894,938000
May2022,775,1816,1408000
May2022,430,2043,880000
May2022,839,2048,1720000
Apr2022,495,1959,970000
Apr2022,624,1938,1210000
Mar2022,441,1955,862888
Mar2022,441,1937,855000
Mar2022,495,1908,945000
Mar2022,807,1858,1500000
Feb2022,441,1923,848888
Feb2022,1506,1936,2918000
Feb2022,441,1960,865000
Jan2022,775,1806,1400000
Dec2021,441,2057,908000
Nov2021,624,1906,1190000
Nov2021,495,2019,1000000
Nov2021,775,1683,1305000
