date,sqft,psf,price
Feb2026,473,2174,1030000
Feb2026,1054,2464,2600000
Feb2026,1033,2624,2712000
Jan2026,753,2362,1780000
Dec2025,473,1953,925000
Nov2025,462,2091,968000
Nov2025,688,2380,1640000
Nov2025,753,2359,1778000
Nov2025,753,2294,1728888
Oct2025,904,2377,2150000
Oct2025,688,2437,1678888
Oct2025,688,2286,1575000
Oct2025,462,2160,1000000
Sep2025,1033,2409,2490000
Sep2025,484,1998,968000
Sep2025,441,2170,958000
Sep2025,699,2372,1660000
Sep2025,699,2401,1680000
Aug2025,473,1910,905000
Aug2025,904,2377,2150000
Aug2025,904,2319,2096888
Aug2025,452,2057,930000
Aug2025,1076,2404,2588000
Aug2025,1076,2536,2730000
Jul2025,462,2156,998000
Jul2025,441,2197,970000
Jul2025,462,1944,900000
Jul2025,753,2362,1780000
Jul2025,473,2022,958000
Jul2025,462,2106,975000
Jun2025,441,2175,960000
Jun2025,904,2411,2180000
Jun2025,753,2306,1738000
Jun2025,473,2111,999888
Jun2025,462,2117,980000
May2025,1054,2369,2500000
May2025,441,2175,960000
May2025,441,2243,990000
May2025,462,2182,1010000
May2025,688,2252,1552000
Apr2025,441,2265,1000000
Apr2025,462,1987,920000
Mar2025,904,2267,2050000
Mar2025,1033,2254,2330000
Mar2025,753,2229,1680000
Mar2025,753,2296,1730000
Mar2025,753,2256,1700000
Feb2025,462,2160,1000000
Feb2025,441,2299,1015000
Feb2025,484,2002,970000
Jan2025,473,2149,1018000
Jan2025,699,2301,1610000
Jan2025,753,2289,1725000
Dec2024,473,2111,1000000
Dec2024,904,2459,2223888
Dec2024,688,2293,1580000
Nov2024,1302,2272,2960000
Nov2024,441,2265,1000000
Nov2024,753,2319,1748000
Oct2024,753,2123,1600000
Oct2024,1054,2298,2425000
Oct2024,473,2069,980000
Oct2024,473,2143,1015000
Oct2024,462,2199,1018000
Sep2024,699,2286,1600000
Sep2024,688,2402,1655000
Sep2024,473,2132,1010000
Aug2024,452,2211,1000000
Aug2024,753,2209,1665000
Aug2024,484,2085,1010000
Jul2024,441,2193,968000
Jul2024,1054,2322,2450000
Jun2024,441,2186,965000
May2024,462,2160,1000000
May2024,1033,2274,2350000
May2024,904,2206,1995000
May2024,699,2272,1590000
Apr2024,1033,2177,2250000
Apr2024,452,2145,970000
Apr2024,441,2193,968000
Apr2024,441,2152,950000
Apr2024,1302,2226,2900000
Mar2024,484,2085,1010000
Mar2024,904,2167,1960000
Mar2024,484,2147,1040000
Feb2024,441,2179,962000
Feb2024,452,2123,960000
Feb2024,1054,2180,2300000
Jan2024,473,2090,990000
Jan2024,462,2106,975000
Jan2024,462,2117,980000
Dec2023,1302,2138,2785000
Dec2023,441,2152,950000
Dec2023,473,2153,1020000
Dec2023,1076,2118,2280000
Dec2023,441,2254,995000
Dec2023,462,2106,975000
Nov2023,452,1968,890000
Nov2023,688,2148,1480000
Nov2023,699,2308,1615000
Nov2023,904,2121,1918000
Oct2023,462,2138,990000
Sep2023,796,2184,1740000
Sep2023,441,2080,918000
Aug2023,688,2017,1390000
Aug2023,904,2267,2050168
Aug2023,688,2264,1560000
Aug2023,462,2009,930000
Aug2023,753,2096,1580000
Aug2023,462,2130,985888
Aug2023,796,1883,1500000
Aug2023,441,2175,960000
Aug2023,462,2134,988000
Aug2023,753,2110,1590000
Jul2023,796,1858,1480000
Jul2023,753,2163,1630000
Jul2023,484,1998,968000
Jul2023,904,2123,1920000
Jun2023,753,2123,1600000
Jun2023,452,2101,950000
May2023,1033,2175,2248000
May2023,462,2074,960000
Apr2023,462,2041,945000
Apr2023,462,2052,950000
Apr2023,462,2004,928000
Apr2023,473,2022,958000
Apr2023,462,2041,945000
Mar2023,904,2057,1860000
Mar2023,462,2006,928888
Mar2023,473,2037,965000
Mar2023,688,2279,1570000
Mar2023,699,2129,1490000
Mar2023,688,2032,1400000
Feb2023,484,1858,900000
Feb2023,1033,2012,2080000
Feb2023,688,2133,1470000
Feb2023,688,2162,1490000
Feb2023,484,1981,960000
Jan2023,688,2061,1420000
Jan2023,462,1976,915000
Jan2023,688,2010,1385000
Jan2023,688,2148,1480000
Dec2022,796,1832,1460000
Nov2022,1302,1988,2590000
Nov2022,1033,2148,2220000
Nov2022,1302,1996,2600000
Nov2022,473,1995,945000
Oct2022,473,1953,925000
Oct2022,1054,1943,2050000
Oct2022,473,1984,940000
Oct2022,688,1945,1340000
Sep2022,753,2150,1620000
Sep2022,484,1940,940000
Sep2022,1054,2064,2178000
Sep2022,904,2084,1885000
Sep2022,1033,2030,2098000
Aug2022,441,1892,835000
Aug2022,753,1908,1438000
Aug2022,484,1837,890000
Aug2022,796,1914,1525000
Aug2022,796,1858,1480000
Jul2022,796,1865,1486000
Jul2022,1076,2043,2200000
Jul2022,473,1995,945000
Jul2022,441,2057,908000
Jul2022,441,1994,880000
Jun2022,462,1955,905000
Jun2022,1033,2051,2120000
Jun2022,1033,1944,2008888
Jun2022,462,1944,900000
Jun2022,452,1913,865000
May2022,441,2016,890000
May2022,1054,1895,2000000
May2022,753,1778,1340000
May2022,699,2029,1420000
May2022,753,1937,1460000
Apr2022,1302,1865,2430000
Apr2022,699,1943,1360000
Apr2022,462,2030,940000
Apr2022,753,1884,1420000
Apr2022,904,2046,1850000
Apr2022,441,2039,900000
Apr2022,462,2009,930000
Mar2022,796,1964,1565000
Mar2022,473,1963,930000
Mar2022,1076,1941,2090000
Mar2022,1054,1914,2020000
Feb2022,484,1940,940000
Feb2022,462,1901,880000
Feb2022,462,2032,940888
Feb2022,1076,1978,2130000
Jan2022,473,2020,956888
Jan2022,904,1953,1766000
Jan2022,699,1962,1373000
Dec2021,441,1907,842000
Dec2021,462,2052,950000
Dec2021,1302,1811,2360000
Nov2021,441,2027,894888
Nov2021,796,1883,1500000
Nov2021,753,1924,1450000
Nov2021,753,1858,1400000
Nov2021,688,1858,1280000
Nov2021,904,2001,1810000
Oct2021,462,1940,898000
Oct2021,473,1974,935000
Oct2021,473,1984,940000
Oct2021,462,1966,910000
Oct2021,484,1899,920000
Oct2021,441,1998,881888
Oct2021,1302,1980,2580000
Oct2021,753,1897,1430000
Sep2021,1076,1913,2060000
Sep2021,473,1678,795000
Sep2021,688,1945,1340000
Sep2021,473,1889,895000
Sep2021,753,1868,1408000
Sep2021,441,2057,908000
Sep2021,699,2055,1438000
Sep2021,1054,1967,2075000
Sep2021,462,1879,870000
Sep2021,441,2046,903000
Sep2021,688,2014,1388000
Aug2021,1033,1838,1900000
Aug2021,796,1876,1495000
Aug2021,452,1880,850000
Aug2021,441,1914,845000
Aug2021,1302,1765,2300000
Jul2021,1054,1782,1880000
Jul2021,904,1913,1730000
Jul2021,473,1678,795000
Jul2021,441,1971,870000
